,parcela,saldo_devedor,itbi,custos_fixos,custos_iniciais,reforma,venda,total,data
0,0,60000.0,1920.00,771.67,583700.00,0.00,0.00,586391.6666666666,2022-09-05
1,7100.0,54000.0,1920.00,771.67,0.00,10000.00,0.00,19791.666666666657,2022-10-05
2,6990.0,48000.0,1920.00,771.67,0.00,10000.00,0.00,19681.666666666657,2022-11-05
3,6880.0,42000.0,1920.00,771.67,0.00,0.00,0.00,9571.666666666664,2022-12-05
4,6770.0,36000.0,1920.00,771.67,0.00,0.00,-694425.00,-648963.3333333334,2023-01-05
